Customer_ID,Gender,Age,Children,Contract_Type,Payment_Method,Account_Length_(in_months),Account_Length_(in years),Mins,Extra_International_Charges,Monthly_Charge,Customer_Service_Calls,Avg_Monthly_GB_Download,Unlimited_Data_Plan,Phone_Number,Device_Protection_&_Online_Backup,Virtual_Assistant,Churn_Reason,Churn_Label
7552-RQBG,Male,23.0,624.0,One Year,Direct Debit,,4.25,205.1,0.0,54.0,0.0,19.0,Yes,368-9507,Yes,,,No
6652-BAVP,Male,50.0,443.0,One Year,Credit Card,,2.0833333333333335,202.8,0.0,35.0,0.0,1.0,Yes,331-3044,No,,,No
6103-KXHN,Female,72.0,832.0,One Year,Credit Card,53.0,,423.5,229.7,49.0,3.0,4.0,Yes,265-8394,No,,Lack of affordable download/upload speed,Yes
2437-ACRF,Male,49.0,486.0,Month-to-Month,Direct Debit,33.0,,367.1,0.0,29.0,0.0,14.0,Yes,402-1381,Yes,,Competitor offered higher download speeds,YES
5250-QBXI,Male,58.0,733.0,Month-to-Month,Direct Debit,4.0,,20.3,0.0,21.0,0.0,1.0,NO,354-8611,No,,,No
9647-GHCY,Female,60.0,890.0,Month-to-Month,Credit Card,,0.8333333333333334,100.2,62.5,8.0,1.0,0.0,No,314-9992,No,,,No
3860-BYHK,Female,20.0,736.0,Two Year,Direct Debit,47.0,,751.6,0.0,63.0,0.0,27.0,Yes,276-5484,Yes,,,NO
5934-PHKI,Male,32.0,994.0,Month-to-Month,Paper Check,3.0,,32.5,0.0,11.0,1.0,0.0,NO,355-4801,No,,Price too high,Yes
4464-LBRK,Female,29.0,309.0,Month-to-Month,Direct Debit,,5.083333333333333,790.7,0.0,61.0,0.0,21.0,YES,326-4450,Yes,,,No
7150-BKLG,Male,24.0,412.0,One Year,Credit Card,,2.5833333333333335,156.0,65.1,38.0,3.0,38.0,Yes,346-8112,No,,,No
7319-CHWZ,Female,66.0,849.0,Two Year,Direct Debit,29.0,,145.9,0.0,53.0,0.0,14.0,Yes,408-9779,No,,,No
0132-YVGO,Female,79.0,242.0,One Year,Direct Debit,,5.583333333333333,875.5,0.0,40.0,2.0,5.0,Yes,339-2792,No,,,NO
6193-JFQP,Male,24.0,746.0,Month-to-Month,Credit Card,,1.5,219.3,0.0,8.0,0.0,0.0,NO,378-7299,No,,,No
0894-WUEE,Male,41.0,939.0,Month-to-Month,Credit Card,,0.08333333333333333,6.0,4.4,35.0,1.0,4.0,No,367-9567,No,,Competitor had better devices,Yes
1158-OSJL,Female,56.0,679.0,Month-to-Month,Direct Debit,,0.25,40.4,0.0,10.0,0.0,0.0,No,257-4799,No,,,No
5768-KDUI,Male,32.0,223.0,One Year,Direct Debit,33.0,,227.5,163.9,42.0,0.0,24.0,Yes,336-9229,No,,,No
5611-WZLD,Male,44.0,778.0,Two Year,Credit Card,,5.416666666666667,1036.3,290.3,39.0,0.0,4.0,Yes,352-8249,Yes,,,NO
1069-PLVC,Female,68.0,513.0,Month-to-Month,Credit Card,54.0,,698.3,0.0,48.0,3.0,5.0,Yes,341-7412,Yes,,,No
2779-LOUX,Male,19.0,208.0,One Year,Credit Card,,2.3333333333333335,222.3,0.0,33.0,0.0,13.0,Yes,296-9779,Yes,,,No
1114-ZRYK,Male,58.0,626.0,Month-to-Month,Direct Debit,,2.75,455.5,0.0,41.0,0.0,2.0,Yes,387-6336,No,,,No
7642-VMZC,Male,29.0,399.0,Month-to-Month,Direct Debit,,0.4166666666666667,33.0,0.0,40.0,4.0,15.0,Yes,332-6958,No,,Competitor made better offer,Yes
5393-HSVT,Female,29.0,815.0,Month-to-Month,Credit Card,1.0,,12.0,0.0,42.0,1.0,20.0,Yes,332-8103,No,,Competitor made better offer,Yes
6953-KEFE,Female,48.0,786.0,Month-to-Month,Credit Card,,0.75,107.2,33.6,30.0,5.0,2.0,Yes,302-1808,Yes,,Competitor made better offer,Yes
9486-SHRY,Female,28.0,824.0,Month-to-Month,Credit Card,6.0,,83.8,21.8,47.0,2.0,10.0,Yes,339-1442,No,,,No
